bus,price_status,price_per_mwh,price_per_pu_hour
2020,withheld_mip_gap_not_certified,,
2021,withheld_mip_gap_not_certified,,
2022,withheld_mip_gap_not_certified,,
2023,withheld_mip_gap_not_certified,,
2024,withheld_mip_gap_not_certified,,
2025,withheld_mip_gap_not_certified,,
2026,withheld_mip_gap_not_certified,,
2027,withheld_mip_gap_not_certified,,
2028,withheld_mip_gap_not_certified,,
2029,withheld_mip_gap_not_certified,,
2030,withheld_mip_gap_not_certified,,
2031,withheld_mip_gap_not_certified,,
2032,withheld_mip_gap_not_certified,,
2033,withheld_mip_gap_not_certified,,
2034,withheld_mip_gap_not_certified,,
2035,withheld_mip_gap_not_certified,,
2036,withheld_mip_gap_not_certified,,
2037,withheld_mip_gap_not_certified,,
2038,withheld_mip_gap_not_certified,,
2039,withheld_mip_gap_not_certified,,
2040,withheld_mip_gap_not_certified,,
2041,withheld_mip_gap_not_certified,,
2042,withheld_mip_gap_not_certified,,
2043,withheld_mip_gap_not_certified,,
2044,withheld_mip_gap_not_certified,,
2045,withheld_mip_gap_not_certified,,
2046,withheld_mip_gap_not_certified,,
2047,withheld_mip_gap_not_certified,,
2048,withheld_mip_gap_not_certified,,
2049,withheld_mip_gap_not_certified,,
2050,withheld_mip_gap_not_certified,,
2051,withheld_mip_gap_not_certified,,
2052,withheld_mip_gap_not_certified,,
2053,withheld_mip_gap_not_certified,,
2054,withheld_mip_gap_not_certified,,
2055,withheld_mip_gap_not_certified,,
2056,withheld_mip_gap_not_certified,,
2057,withheld_mip_gap_not_certified,,
2058,withheld_mip_gap_not_certified,,
2059,withheld_mip_gap_not_certified,,
2060,withheld_mip_gap_not_certified,,
2061,withheld_mip_gap_not_certified,,
2062,withheld_mip_gap_not_certified,,
2063,withheld_mip_gap_not_certified,,
2064,withheld_mip_gap_not_certified,,
2065,withheld_mip_gap_not_certified,,
2066,withheld_mip_gap_not_certified,,
2067,withheld_mip_gap_not_certified,,
2068,withheld_mip_gap_not_certified,,
2069,withheld_mip_gap_not_certified,,
2070,withheld_mip_gap_not_certified,,
2071,withheld_mip_gap_not_certified,,
2072,withheld_mip_gap_not_certified,,
2073,withheld_mip_gap_not_certified,,
2074,withheld_mip_gap_not_certified,,
2075,withheld_mip_gap_not_certified,,
2076,withheld_mip_gap_not_certified,,
2077,withheld_mip_gap_not_certified,,
2078,withheld_mip_gap_not_certified,,
2079,withheld_mip_gap_not_certified,,
2080,withheld_mip_gap_not_certified,,
2081,withheld_mip_gap_not_certified,,
2082,withheld_mip_gap_not_certified,,
2083,withheld_mip_gap_not_certified,,
2084,withheld_mip_gap_not_certified,,
2085,withheld_mip_gap_not_certified,,
2086,withheld_mip_gap_not_certified,,
2087,withheld_mip_gap_not_certified,,
2088,withheld_mip_gap_not_certified,,
2089,withheld_mip_gap_not_certified,,
2090,withheld_mip_gap_not_certified,,
2091,withheld_mip_gap_not_certified,,
2092,withheld_mip_gap_not_certified,,
2093,withheld_mip_gap_not_certified,,
2094,withheld_mip_gap_not_certified,,
2095,withheld_mip_gap_not_certified,,
2096,withheld_mip_gap_not_certified,,
2097,withheld_mip_gap_not_certified,,
2098,withheld_mip_gap_not_certified,,
2099,withheld_mip_gap_not_certified,,
2100,withheld_mip_gap_not_certified,,
2101,withheld_mip_gap_not_certified,,
2102,withheld_mip_gap_not_certified,,
2103,withheld_mip_gap_not_certified,,
2104,withheld_mip_gap_not_certified,,
2105,withheld_mip_gap_not_certified,,
2106,withheld_mip_gap_not_certified,,
2107,withheld_mip_gap_not_certified,,
2108,withheld_mip_gap_not_certified,,
2109,withheld_mip_gap_not_certified,,
2110,withheld_mip_gap_not_certified,,
2111,withheld_mip_gap_not_certified,,
2112,withheld_mip_gap_not_certified,,
2113,withheld_mip_gap_not_certified,,
2114,withheld_mip_gap_not_certified,,
2115,withheld_mip_gap_not_certified,,
2116,withheld_mip_gap_not_certified,,
2117,withheld_mip_gap_not_certified,,
2118,withheld_mip_gap_not_certified,,
2119,withheld_mip_gap_not_certified,,
2120,withheld_mip_gap_not_certified,,
2121,withheld_mip_gap_not_certified,,
2122,withheld_mip_gap_not_certified,,
2123,withheld_mip_gap_not_certified,,
2124,withheld_mip_gap_not_certified,,
2125,withheld_mip_gap_not_certified,,
2126,withheld_mip_gap_not_certified,,
2127,withheld_mip_gap_not_certified,,
2128,withheld_mip_gap_not_certified,,
2129,withheld_mip_gap_not_certified,,
2130,withheld_mip_gap_not_certified,,
2131,withheld_mip_gap_not_certified,,
2132,withheld_mip_gap_not_certified,,
2133,withheld_mip_gap_not_certified,,
3001,withheld_mip_gap_not_certified,,
3002,withheld_mip_gap_not_certified,,
3003,withheld_mip_gap_not_certified,,
3004,withheld_mip_gap_not_certified,,
3005,withheld_mip_gap_not_certified,,
3006,withheld_mip_gap_not_certified,,
3007,withheld_mip_gap_not_certified,,
3008,withheld_mip_gap_not_certified,,
3009,withheld_mip_gap_not_certified,,
3010,withheld_mip_gap_not_certified,,
3011,withheld_mip_gap_not_certified,,
3012,withheld_mip_gap_not_certified,,
3013,withheld_mip_gap_not_certified,,
3014,withheld_mip_gap_not_certified,,
3015,withheld_mip_gap_not_certified,,
3016,withheld_mip_gap_not_certified,,
3017,withheld_mip_gap_not_certified,,
3018,withheld_mip_gap_not_certified,,
3019,withheld_mip_gap_not_certified,,
3020,withheld_mip_gap_not_certified,,
3021,withheld_mip_gap_not_certified,,
3022,withheld_mip_gap_not_certified,,
3023,withheld_mip_gap_not_certified,,
3024,withheld_mip_gap_not_certified,,
3025,withheld_mip_gap_not_certified,,
3026,withheld_mip_gap_not_certified,,
3027,withheld_mip_gap_not_certified,,
3028,withheld_mip_gap_not_certified,,
3029,withheld_mip_gap_not_certified,,
3030,withheld_mip_gap_not_certified,,
3031,withheld_mip_gap_not_certified,,
3032,withheld_mip_gap_not_certified,,
3033,withheld_mip_gap_not_certified,,
3034,withheld_mip_gap_not_certified,,
3035,withheld_mip_gap_not_certified,,
3036,withheld_mip_gap_not_certified,,
3037,withheld_mip_gap_not_certified,,
3038,withheld_mip_gap_not_certified,,
3039,withheld_mip_gap_not_certified,,
3040,withheld_mip_gap_not_certified,,
3041,withheld_mip_gap_not_certified,,
3042,withheld_mip_gap_not_certified,,
3043,withheld_mip_gap_not_certified,,
3044,withheld_mip_gap_not_certified,,
3045,withheld_mip_gap_not_certified,,
3046,withheld_mip_gap_not_certified,,
3047,withheld_mip_gap_not_certified,,
3048,withheld_mip_gap_not_certified,,
3049,withheld_mip_gap_not_certified,,
3050,withheld_mip_gap_not_certified,,
3051,withheld_mip_gap_not_certified,,
3052,withheld_mip_gap_not_certified,,
3053,withheld_mip_gap_not_certified,,
3054,withheld_mip_gap_not_certified,,
3055,withheld_mip_gap_not_certified,,
3056,withheld_mip_gap_not_certified,,
3057,withheld_mip_gap_not_certified,,
3058,withheld_mip_gap_not_certified,,
3059,withheld_mip_gap_not_certified,,
3060,withheld_mip_gap_not_certified,,
3061,withheld_mip_gap_not_certified,,
3062,withheld_mip_gap_not_certified,,
3063,withheld_mip_gap_not_certified,,
3064,withheld_mip_gap_not_certified,,
3065,withheld_mip_gap_not_certified,,
3066,withheld_mip_gap_not_certified,,
3067,withheld_mip_gap_not_certified,,
3068,withheld_mip_gap_not_certified,,
3069,withheld_mip_gap_not_certified,,
3070,withheld_mip_gap_not_certified,,
3071,withheld_mip_gap_not_certified,,
3072,withheld_mip_gap_not_certified,,
3073,withheld_mip_gap_not_certified,,
3074,withheld_mip_gap_not_certified,,
3075,withheld_mip_gap_not_certified,,
3076,withheld_mip_gap_not_certified,,
3077,withheld_mip_gap_not_certified,,
3078,withheld_mip_gap_not_certified,,
3079,withheld_mip_gap_not_certified,,
3080,withheld_mip_gap_not_certified,,
3081,withheld_mip_gap_not_certified,,
3082,withheld_mip_gap_not_certified,,
3083,withheld_mip_gap_not_certified,,
3084,withheld_mip_gap_not_certified,,
3085,withheld_mip_gap_not_certified,,
3086,withheld_mip_gap_not_certified,,
3087,withheld_mip_gap_not_certified,,
3088,withheld_mip_gap_not_certified,,
3089,withheld_mip_gap_not_certified,,
3090,withheld_mip_gap_not_certified,,
3091,withheld_mip_gap_not_certified,,
3092,withheld_mip_gap_not_certified,,
3093,withheld_mip_gap_not_certified,,
3094,withheld_mip_gap_not_certified,,
3095,withheld_mip_gap_not_certified,,
3096,withheld_mip_gap_not_certified,,
3097,withheld_mip_gap_not_certified,,
3098,withheld_mip_gap_not_certified,,
3099,withheld_mip_gap_not_certified,,
3100,withheld_mip_gap_not_certified,,
3101,withheld_mip_gap_not_certified,,
3102,withheld_mip_gap_not_certified,,
3103,withheld_mip_gap_not_certified,,
3104,withheld_mip_gap_not_certified,,
3105,withheld_mip_gap_not_certified,,
3106,withheld_mip_gap_not_certified,,
3107,withheld_mip_gap_not_certified,,
3108,withheld_mip_gap_not_certified,,
3109,withheld_mip_gap_not_certified,,
3110,withheld_mip_gap_not_certified,,
3111,withheld_mip_gap_not_certified,,
3112,withheld_mip_gap_not_certified,,
3113,withheld_mip_gap_not_certified,,
3114,withheld_mip_gap_not_certified,,
3115,withheld_mip_gap_not_certified,,
3116,withheld_mip_gap_not_certified,,
3117,withheld_mip_gap_not_certified,,
3118,withheld_mip_gap_not_certified,,
3119,withheld_mip_gap_not_certified,,
3120,withheld_mip_gap_not_certified,,
3121,withheld_mip_gap_not_certified,,
3122,withheld_mip_gap_not_certified,,
3123,withheld_mip_gap_not_certified,,
3124,withheld_mip_gap_not_certified,,
3125,withheld_mip_gap_not_certified,,
3126,withheld_mip_gap_not_certified,,
3127,withheld_mip_gap_not_certified,,
3128,withheld_mip_gap_not_certified,,
3129,withheld_mip_gap_not_certified,,
3130,withheld_mip_gap_not_certified,,
3131,withheld_mip_gap_not_certified,,
3132,withheld_mip_gap_not_certified,,
3133,withheld_mip_gap_not_certified,,
3134,withheld_mip_gap_not_certified,,
3135,withheld_mip_gap_not_certified,,
3136,withheld_mip_gap_not_certified,,
3137,withheld_mip_gap_not_certified,,
3138,withheld_mip_gap_not_certified,,
3139,withheld_mip_gap_not_certified,,
3140,withheld_mip_gap_not_certified,,
3141,withheld_mip_gap_not_certified,,
3142,withheld_mip_gap_not_certified,,
3143,withheld_mip_gap_not_certified,,
3144,withheld_mip_gap_not_certified,,
3145,withheld_mip_gap_not_certified,,
3146,withheld_mip_gap_not_certified,,
3147,withheld_mip_gap_not_certified,,
4002,withheld_mip_gap_not_certified,,
4003,withheld_mip_gap_not_certified,,
4004,withheld_mip_gap_not_certified,,
4005,withheld_mip_gap_not_certified,,
4006,withheld_mip_gap_not_certified,,
4007,withheld_mip_gap_not_certified,,
4008,withheld_mip_gap_not_certified,,
4009,withheld_mip_gap_not_certified,,
4010,withheld_mip_gap_not_certified,,
4011,withheld_mip_gap_not_certified,,
4012,withheld_mip_gap_not_certified,,
4013,withheld_mip_gap_not_certified,,
4014,withheld_mip_gap_not_certified,,
4015,withheld_mip_gap_not_certified,,
4016,withheld_mip_gap_not_certified,,
4017,withheld_mip_gap_not_certified,,
4018,withheld_mip_gap_not_certified,,
4019,withheld_mip_gap_not_certified,,
4020,withheld_mip_gap_not_certified,,
4021,withheld_mip_gap_not_certified,,
4022,withheld_mip_gap_not_certified,,
4023,withheld_mip_gap_not_certified,,
4024,withheld_mip_gap_not_certified,,
4025,withheld_mip_gap_not_certified,,
4026,withheld_mip_gap_not_certified,,
4027,withheld_mip_gap_not_certified,,
4028,withheld_mip_gap_not_certified,,
4029,withheld_mip_gap_not_certified,,
4030,withheld_mip_gap_not_certified,,
4031,withheld_mip_gap_not_certified,,
4032,withheld_mip_gap_not_certified,,
4033,withheld_mip_gap_not_certified,,
4034,withheld_mip_gap_not_certified,,
4035,withheld_mip_gap_not_certified,,
4036,withheld_mip_gap_not_certified,,
4037,withheld_mip_gap_not_certified,,
4038,withheld_mip_gap_not_certified,,
4039,withheld_mip_gap_not_certified,,
4040,withheld_mip_gap_not_certified,,
4041,withheld_mip_gap_not_certified,,
4042,withheld_mip_gap_not_certified,,
4043,withheld_mip_gap_not_certified,,
4044,withheld_mip_gap_not_certified,,
4045,withheld_mip_gap_not_certified,,
4046,withheld_mip_gap_not_certified,,
4047,withheld_mip_gap_not_certified,,
4048,withheld_mip_gap_not_certified,,
4049,withheld_mip_gap_not_certified,,
4050,withheld_mip_gap_not_certified,,
4051,withheld_mip_gap_not_certified,,
4052,withheld_mip_gap_not_certified,,
4053,withheld_mip_gap_not_certified,,
4054,withheld_mip_gap_not_certified,,
4055,withheld_mip_gap_not_certified,,
4056,withheld_mip_gap_not_certified,,
4057,withheld_mip_gap_not_certified,,
4058,withheld_mip_gap_not_certified,,
4059,withheld_mip_gap_not_certified,,
4060,withheld_mip_gap_not_certified,,
4061,withheld_mip_gap_not_certified,,
4062,withheld_mip_gap_not_certified,,
4063,withheld_mip_gap_not_certified,,
4064,withheld_mip_gap_not_certified,,
4065,withheld_mip_gap_not_certified,,
4066,withheld_mip_gap_not_certified,,
4067,withheld_mip_gap_not_certified,,
4068,withheld_mip_gap_not_certified,,
4069,withheld_mip_gap_not_certified,,
4070,withheld_mip_gap_not_certified,,
4071,withheld_mip_gap_not_certified,,
4072,withheld_mip_gap_not_certified,,
4073,withheld_mip_gap_not_certified,,
4074,withheld_mip_gap_not_certified,,
4075,withheld_mip_gap_not_certified,,
4076,withheld_mip_gap_not_certified,,
4077,withheld_mip_gap_not_certified,,
4078,withheld_mip_gap_not_certified,,
4079,withheld_mip_gap_not_certified,,
4080,withheld_mip_gap_not_certified,,
4081,withheld_mip_gap_not_certified,,
4082,withheld_mip_gap_not_certified,,
4083,withheld_mip_gap_not_certified,,
4084,withheld_mip_gap_not_certified,,
4085,withheld_mip_gap_not_certified,,
4086,withheld_mip_gap_not_certified,,
4087,withheld_mip_gap_not_certified,,
4088,withheld_mip_gap_not_certified,,
4089,withheld_mip_gap_not_certified,,
4090,withheld_mip_gap_not_certified,,
4091,withheld_mip_gap_not_certified,,
4092,withheld_mip_gap_not_certified,,
4093,withheld_mip_gap_not_certified,,
4094,withheld_mip_gap_not_certified,,
4095,withheld_mip_gap_not_certified,,
4096,withheld_mip_gap_not_certified,,
4097,withheld_mip_gap_not_certified,,
4098,withheld_mip_gap_not_certified,,
4099,withheld_mip_gap_not_certified,,
4100,withheld_mip_gap_not_certified,,
4101,withheld_mip_gap_not_certified,,
4102,withheld_mip_gap_not_certified,,
4103,withheld_mip_gap_not_certified,,
4104,withheld_mip_gap_not_certified,,
4105,withheld_mip_gap_not_certified,,
4106,withheld_mip_gap_not_certified,,
4107,withheld_mip_gap_not_certified,,
4108,withheld_mip_gap_not_certified,,
4109,withheld_mip_gap_not_certified,,
4110,withheld_mip_gap_not_certified,,
4111,withheld_mip_gap_not_certified,,
4112,withheld_mip_gap_not_certified,,
4113,withheld_mip_gap_not_certified,,
4114,withheld_mip_gap_not_certified,,
4115,withheld_mip_gap_not_certified,,
4116,withheld_mip_gap_not_certified,,
4117,withheld_mip_gap_not_certified,,
4118,withheld_mip_gap_not_certified,,
4119,withheld_mip_gap_not_certified,,
4120,withheld_mip_gap_not_certified,,
4121,withheld_mip_gap_not_certified,,
4122,withheld_mip_gap_not_certified,,
4123,withheld_mip_gap_not_certified,,
4124,withheld_mip_gap_not_certified,,
4125,withheld_mip_gap_not_certified,,
4126,withheld_mip_gap_not_certified,,
4127,withheld_mip_gap_not_certified,,
4128,withheld_mip_gap_not_certified,,
4129,withheld_mip_gap_not_certified,,
4130,withheld_mip_gap_not_certified,,
4131,withheld_mip_gap_not_certified,,
4132,withheld_mip_gap_not_certified,,
4133,withheld_mip_gap_not_certified,,
4134,withheld_mip_gap_not_certified,,
4135,withheld_mip_gap_not_certified,,
4136,withheld_mip_gap_not_certified,,
4137,withheld_mip_gap_not_certified,,
4138,withheld_mip_gap_not_certified,,
4139,withheld_mip_gap_not_certified,,
4140,withheld_mip_gap_not_certified,,
4141,withheld_mip_gap_not_certified,,
4142,withheld_mip_gap_not_certified,,
4143,withheld_mip_gap_not_certified,,
4144,withheld_mip_gap_not_certified,,
4145,withheld_mip_gap_not_certified,,
4146,withheld_mip_gap_not_certified,,
4147,withheld_mip_gap_not_certified,,
4148,withheld_mip_gap_not_certified,,
4149,withheld_mip_gap_not_certified,,
4150,withheld_mip_gap_not_certified,,
4151,withheld_mip_gap_not_certified,,
4152,withheld_mip_gap_not_certified,,
4153,withheld_mip_gap_not_certified,,
4154,withheld_mip_gap_not_certified,,
4155,withheld_mip_gap_not_certified,,
4156,withheld_mip_gap_not_certified,,
4157,withheld_mip_gap_not_certified,,
4158,withheld_mip_gap_not_certified,,
4159,withheld_mip_gap_not_certified,,
4160,withheld_mip_gap_not_certified,,
4161,withheld_mip_gap_not_certified,,
4162,withheld_mip_gap_not_certified,,
4163,withheld_mip_gap_not_certified,,
4164,withheld_mip_gap_not_certified,,
4165,withheld_mip_gap_not_certified,,
4166,withheld_mip_gap_not_certified,,
4167,withheld_mip_gap_not_certified,,
4168,withheld_mip_gap_not_certified,,
4169,withheld_mip_gap_not_certified,,
4170,withheld_mip_gap_not_certified,,
4171,withheld_mip_gap_not_certified,,
4172,withheld_mip_gap_not_certified,,
4173,withheld_mip_gap_not_certified,,
4174,withheld_mip_gap_not_certified,,
4175,withheld_mip_gap_not_certified,,
4176,withheld_mip_gap_not_certified,,
4177,withheld_mip_gap_not_certified,,
4178,withheld_mip_gap_not_certified,,
4179,withheld_mip_gap_not_certified,,
4180,withheld_mip_gap_not_certified,,
4181,withheld_mip_gap_not_certified,,
4182,withheld_mip_gap_not_certified,,
4183,withheld_mip_gap_not_certified,,
4184,withheld_mip_gap_not_certified,,
4185,withheld_mip_gap_not_certified,,
4186,withheld_mip_gap_not_certified,,
4187,withheld_mip_gap_not_certified,,
4188,withheld_mip_gap_not_certified,,
4189,withheld_mip_gap_not_certified,,
4190,withheld_mip_gap_not_certified,,
4191,withheld_mip_gap_not_certified,,
4192,withheld_mip_gap_not_certified,,
4193,withheld_mip_gap_not_certified,,
4194,withheld_mip_gap_not_certified,,
4195,withheld_mip_gap_not_certified,,
4196,withheld_mip_gap_not_certified,,
4197,withheld_mip_gap_not_certified,,
5003,withheld_mip_gap_not_certified,,
5004,withheld_mip_gap_not_certified,,
5005,withheld_mip_gap_not_certified,,
5006,withheld_mip_gap_not_certified,,
5007,withheld_mip_gap_not_certified,,
5008,withheld_mip_gap_not_certified,,
5009,withheld_mip_gap_not_certified,,
5010,withheld_mip_gap_not_certified,,
5011,withheld_mip_gap_not_certified,,
5012,withheld_mip_gap_not_certified,,
5013,withheld_mip_gap_not_certified,,
5014,withheld_mip_gap_not_certified,,
5015,withheld_mip_gap_not_certified,,
5016,withheld_mip_gap_not_certified,,
5017,withheld_mip_gap_not_certified,,
5018,withheld_mip_gap_not_certified,,
5019,withheld_mip_gap_not_certified,,
5020,withheld_mip_gap_not_certified,,
5021,withheld_mip_gap_not_certified,,
5022,withheld_mip_gap_not_certified,,
5023,withheld_mip_gap_not_certified,,
5024,withheld_mip_gap_not_certified,,
5025,withheld_mip_gap_not_certified,,
5026,withheld_mip_gap_not_certified,,
5027,withheld_mip_gap_not_certified,,
5028,withheld_mip_gap_not_certified,,
5029,withheld_mip_gap_not_certified,,
5030,withheld_mip_gap_not_certified,,
5031,withheld_mip_gap_not_certified,,
5032,withheld_mip_gap_not_certified,,
5033,withheld_mip_gap_not_certified,,
5034,withheld_mip_gap_not_certified,,
5035,withheld_mip_gap_not_certified,,
5036,withheld_mip_gap_not_certified,,
5037,withheld_mip_gap_not_certified,,
5038,withheld_mip_gap_not_certified,,
5039,withheld_mip_gap_not_certified,,
5040,withheld_mip_gap_not_certified,,
5041,withheld_mip_gap_not_certified,,
5042,withheld_mip_gap_not_certified,,
5043,withheld_mip_gap_not_certified,,
5044,withheld_mip_gap_not_certified,,
5045,withheld_mip_gap_not_certified,,
5046,withheld_mip_gap_not_certified,,
5047,withheld_mip_gap_not_certified,,
5048,withheld_mip_gap_not_certified,,
5049,withheld_mip_gap_not_certified,,
5050,withheld_mip_gap_not_certified,,
5051,withheld_mip_gap_not_certified,,
5052,withheld_mip_gap_not_certified,,
5053,withheld_mip_gap_not_certified,,
5054,withheld_mip_gap_not_certified,,
5055,withheld_mip_gap_not_certified,,
5056,withheld_mip_gap_not_certified,,
5057,withheld_mip_gap_not_certified,,
5058,withheld_mip_gap_not_certified,,
5059,withheld_mip_gap_not_certified,,
5060,withheld_mip_gap_not_certified,,
5061,withheld_mip_gap_not_certified,,
5062,withheld_mip_gap_not_certified,,
5063,withheld_mip_gap_not_certified,,
5064,withheld_mip_gap_not_certified,,
5065,withheld_mip_gap_not_certified,,
5066,withheld_mip_gap_not_certified,,
5067,withheld_mip_gap_not_certified,,
5068,withheld_mip_gap_not_certified,,
5069,withheld_mip_gap_not_certified,,
5070,withheld_mip_gap_not_certified,,
5071,withheld_mip_gap_not_certified,,
5072,withheld_mip_gap_not_certified,,
5073,withheld_mip_gap_not_certified,,
5074,withheld_mip_gap_not_certified,,
5075,withheld_mip_gap_not_certified,,
5076,withheld_mip_gap_not_certified,,
5077,withheld_mip_gap_not_certified,,
5078,withheld_mip_gap_not_certified,,
5079,withheld_mip_gap_not_certified,,
5080,withheld_mip_gap_not_certified,,
5081,withheld_mip_gap_not_certified,,
5082,withheld_mip_gap_not_certified,,
5083,withheld_mip_gap_not_certified,,
5084,withheld_mip_gap_not_certified,,
5085,withheld_mip_gap_not_certified,,
5086,withheld_mip_gap_not_certified,,
5087,withheld_mip_gap_not_certified,,
5088,withheld_mip_gap_not_certified,,
5089,withheld_mip_gap_not_certified,,
5090,withheld_mip_gap_not_certified,,
5091,withheld_mip_gap_not_certified,,
5092,withheld_mip_gap_not_certified,,
5093,withheld_mip_gap_not_certified,,
5094,withheld_mip_gap_not_certified,,
5095,withheld_mip_gap_not_certified,,
5096,withheld_mip_gap_not_certified,,
5097,withheld_mip_gap_not_certified,,
5098,withheld_mip_gap_not_certified,,
5099,withheld_mip_gap_not_certified,,
5100,withheld_mip_gap_not_certified,,
5101,withheld_mip_gap_not_certified,,
5102,withheld_mip_gap_not_certified,,
5103,withheld_mip_gap_not_certified,,
5104,withheld_mip_gap_not_certified,,
5105,withheld_mip_gap_not_certified,,
5106,withheld_mip_gap_not_certified,,
5107,withheld_mip_gap_not_certified,,
5108,withheld_mip_gap_not_certified,,
5109,withheld_mip_gap_not_certified,,
5110,withheld_mip_gap_not_certified,,
5111,withheld_mip_gap_not_certified,,
5112,withheld_mip_gap_not_certified,,
5113,withheld_mip_gap_not_certified,,
5114,withheld_mip_gap_not_certified,,
5115,withheld_mip_gap_not_certified,,
5116,withheld_mip_gap_not_certified,,
5117,withheld_mip_gap_not_certified,,
5118,withheld_mip_gap_not_certified,,
5119,withheld_mip_gap_not_certified,,
5120,withheld_mip_gap_not_certified,,
5121,withheld_mip_gap_not_certified,,
5122,withheld_mip_gap_not_certified,,
5123,withheld_mip_gap_not_certified,,
5124,withheld_mip_gap_not_certified,,
5125,withheld_mip_gap_not_certified,,
5126,withheld_mip_gap_not_certified,,
5127,withheld_mip_gap_not_certified,,
5128,withheld_mip_gap_not_certified,,
5129,withheld_mip_gap_not_certified,,
5130,withheld_mip_gap_not_certified,,
5131,withheld_mip_gap_not_certified,,
5132,withheld_mip_gap_not_certified,,
