round,source_row,source_id,bus,pmin_mw,pmax_mw,from_commitment,to_commitment,direction
3,127,gen-row-0127,4052,13.26,44.2,0,1,off_to_on
3,128,gen-row-0128,4058,43.2,144.0,0,1,off_to_on
3,131,gen-row-0131,4061,51.7,172.33,0,1,off_to_on
3,137,gen-row-0137,4077,52.9,176.33,0,1,off_to_on
3,152,gen-row-0152,4115,39.54,131.8,1,0,on_to_off
3,218,gen-row-0218,5298,34.5,115.0,0,1,off_to_on
3,219,gen-row-0219,5299,34.5,115.0,0,1,off_to_on
3,220,gen-row-0220,5300,34.5,115.0,0,1,off_to_on
3,250,gen-row-0250,5418,35.64,118.8,0,1,off_to_on
3,260,gen-row-0260,5444,42.39,141.3,1,0,on_to_off
3,261,gen-row-0261,5444,42.39,141.3,0,1,off_to_on
3,264,gen-row-0264,6008,59.5,198.33,1,0,on_to_off
3,265,gen-row-0265,6009,59.5,198.33,1,0,on_to_off
3,266,gen-row-0266,6010,59.5,198.33,1,0,on_to_off
3,276,gen-row-0276,6069,54.41,181.37,1,0,on_to_off
3,277,gen-row-0277,6070,54.41,181.37,0,1,off_to_on
3,278,gen-row-0278,6071,54.41,181.37,0,1,off_to_on
3,281,gen-row-0281,6074,54.41,181.37,0,1,off_to_on
3,320,gen-row-0320,6257,58.2,194.0,1,0,on_to_off
3,321,gen-row-0321,6258,58.2,194.0,0,1,off_to_on
3,334,gen-row-0334,6296,61.87,206.23,0,1,off_to_on
3,368,gen-row-0368,7046,56.53,188.45,1,0,on_to_off
3,409,gen-row-0409,7168,26.32,87.72,0,1,off_to_on
3,410,gen-row-0410,7169,26.3,87.72,0,1,off_to_on
3,428,gen-row-0428,7267,27.19,90.64,0,1,off_to_on
3,429,gen-row-0429,7268,27.19,90.64,0,1,off_to_on
3,430,gen-row-0430,7269,27.19,90.64,0,1,off_to_on
3,459,gen-row-0459,7356,205.0,684.2,1,0,on_to_off
3,493,gen-row-0493,7422,33.75,112.5,0,1,off_to_on
3,494,gen-row-0494,7422,33.75,112.5,1,0,on_to_off
3,503,gen-row-0503,7428,30.16,100.52,1,0,on_to_off
3,506,gen-row-0506,7428,30.16,100.52,1,0,on_to_off
