source_row,source_id,bus,source_status,pmin_mw,pmax_mw,round_1_commitment,round_2_commitment,round_3_commitment,round_2_vs_1_changed,round_3_vs_2_changed,v9_final_commitment,v11_vs_v9_changed,cpu_1e_3_commitment,v11_vs_cpu_changed,final_dispatch_mw,final_dispatch_pu,pricing_status,fixed_commitment_nodal_price_per_mwh
182,gen-row-0182,5020,1,90.0,90.0,1,1,1,0,0,1,0,1,0,90.0,0.9,withheld_gap_not_certified,
183,gen-row-0183,5023,0,1.44,4.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
184,gen-row-0184,5035,0,1.26,4.2,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
185,gen-row-0185,5036,0,1.92,6.4,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
186,gen-row-0186,5037,1,92.54,308.47,1,1,1,0,0,1,0,1,0,308.47,3.0847,withheld_gap_not_certified,
187,gen-row-0187,5038,1,92.54,308.47,1,1,1,0,0,1,0,1,0,308.47,3.0847,withheld_gap_not_certified,
188,gen-row-0188,5039,1,92.54,308.47,1,1,1,0,0,1,0,1,0,308.4700000000008,3.084700000000008,withheld_gap_not_certified,
189,gen-row-0189,5040,1,92.54,308.47,1,1,1,0,0,1,0,1,0,308.47,3.0847,withheld_gap_not_certified,
190,gen-row-0190,5041,1,92.54,308.47,1,1,1,0,0,1,0,1,0,308.47,3.0847,withheld_gap_not_certified,
191,gen-row-0191,5042,1,92.54,308.47,1,1,1,0,0,1,0,1,0,308.47,3.0847,withheld_gap_not_certified,
192,gen-row-0192,5051,1,25.41,84.7,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
193,gen-row-0193,5057,0,95.2,317.35,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
194,gen-row-0194,5058,1,95.2,317.35,1,1,1,0,0,1,0,1,0,317.35,3.1735,withheld_gap_not_certified,
195,gen-row-0195,5065,1,3.18,10.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
196,gen-row-0196,5066,0,0.54,1.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
197,gen-row-0197,5067,1,131.48,438.27,1,1,1,0,0,1,0,1,0,438.26999999999947,4.3826999999999945,withheld_gap_not_certified,
198,gen-row-0198,5068,1,131.48,438.27,1,1,1,0,0,1,0,1,0,438.27,4.3827,withheld_gap_not_certified,
199,gen-row-0199,5069,1,131.48,438.27,1,1,1,0,0,1,0,1,0,438.27,4.3827,withheld_gap_not_certified,
200,gen-row-0200,5089,0,0.0,123.9,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
201,gen-row-0201,5106,0,3.24,10.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
202,gen-row-0202,5107,0,1.71,5.7,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
203,gen-row-0203,5166,1,37.95,126.5,1,1,1,0,0,1,0,1,0,126.50000000000033,1.2650000000000032,withheld_gap_not_certified,
204,gen-row-0204,5167,1,0.48,1.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
205,gen-row-0205,5170,1,45.0,45.0,1,1,1,0,0,1,0,1,0,45.0,0.45,withheld_gap_not_certified,
206,gen-row-0206,5198,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
207,gen-row-0207,5206,1,74.6,248.67,1,1,1,0,0,1,0,1,0,248.67,2.4867,withheld_gap_not_certified,
208,gen-row-0208,5207,1,74.6,248.67,1,1,1,0,0,1,0,1,0,248.67,2.4867,withheld_gap_not_certified,
209,gen-row-0209,5208,1,74.6,248.67,1,1,1,0,0,1,0,1,0,248.67,2.4867,withheld_gap_not_certified,
210,gen-row-0210,5238,1,168.75,168.75,1,1,1,0,0,1,0,1,0,168.75,1.6875,withheld_gap_not_certified,
211,gen-row-0211,5243,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
212,gen-row-0212,5262,1,364.5,1215.0,1,1,1,0,0,1,0,1,0,1214.9999999999998,12.149999999999999,withheld_gap_not_certified,
213,gen-row-0213,5263,1,364.5,1215.0,1,1,1,0,0,1,0,1,0,1215.0,12.15,withheld_gap_not_certified,
214,gen-row-0214,5281,1,80.32,267.73,1,0,0,1,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
